movie,lead
Uri: The Surgical Strike,Vicky Kaushal
Battalion 609,Vicky Ahuja
The Accidental Prime Minister,Anupam Kher
Why Cheat India,Emraan Hashmi
Evening Shadows,Mona Ambegaonkar
Soni,Geetika Vidya Ohlyan
Fraud Saiyaan,Arshad Warsi
Manikarnika: The Queen of Jhansi,Kangana Ranaut
Simmba,Ranveer Singh
Zero,Shah Rukh Khan
Kesari,Akshay Kumar
Gully Boy,Ranveer Singh
Kalank,Alia Bhatt
Student of the Year 2,Tiger Shroff
War,Hrithik Roshan
Chhichhore,Sushant Singh Rajput
Housefull 4,Akshay Kumar
Marjaavaan,Sidharth Malhotra
Bala,Ayushmann Khurrana
Good Newwz,Akshay Kumar
Tanhaji,Ajay Devgn
Street Dancer 3D,Varun Dhawan
Panga,Kangana Ranaut
Baaghi 3,Tiger Shroff
Angrezi Medium,Irrfan Khan
